ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
5.58050442E-04,5.48502729E-01,4.94818991E-01,3.53592242980331,3.1247767242848,3.65134350E+00,4480.67557710357,6.39679408E+00,-5.35574409E-01,1.39882637E+01,7.07840676E-01,2.73325786E-01,1.87845200E-02
5.74915337E-04,5.40484505E-01,4.90693984E-01,3.47123890787576,3.09523753997733,3.65140145E+00,4481.27349507122,6.40084073E+00,-5.23427544E-01,1.40044637E+01,7.07840471E-01,2.73325183E-01,1.87845200E-02
5.88407253E-04,5.33833892E-01,4.87279523E-01,3.41848667978081,3.07099792499468,3.65144602E+00,4481.73341481953,6.40419077E+00,-5.13371388E-01,1.40178749E+01,7.07840332E-01,2.73324773E-01,1.87845200E-02
5.99200786E-04,5.28368459E-01,4.84479091E-01,3.37573587400998,3.0512591234918,3.65147988E+00,4482.08284916788,6.40693864E+00,-5.05122570E-01,1.40288756E+01,7.07840236E-01,2.73324495E-01,1.87845200E-02
6.07835613E-04,5.23910170E-01,4.82198327E-01,3.34125921865172,3.03527697188227,3.65150569E+00,4482.3492260175,6.40917679E+00,-4.98403714E-01,1.40378357E+01,7.07840170E-01,2.73324304E-01,1.87845200E-02
6.14743474E-04,5.20294644E-01,4.80350237E-01,3.31355851259555,3.02238814425803,3.65152585E+00,4482.55730201559,6.41099048E+00,-4.92959072E-01,1.40450965E+01,7.07840123E-01,2.73324171E-01,1.87845200E-02
6.20269763E-04,5.17372379E-01,4.78858241E-01,3.29133720474572,3.01202270287383,3.65154129E+00,4482.71666833942,6.41245482E+00,-4.88563186E-01,1.40509588E+01,7.07840090E-01,2.73324077E-01,1.87845200E-02
6.24690794E-04,5.15015479E-01,4.77656791E-01,3.27352362070398,3.00370163537487,3.65155279E+00,4482.83537103166,6.41363403E+00,-4.85023248E-01,1.40556795E+01,7.07840065E-01,2.73324010E-01,1.87845200E-02
6.28279629E-04,5.13093287E-01,4.76676812E-01,3.25906698652017,2.99693146884189,3.65156223E+00,4482.93281280812,6.41459591E+00,-4.82135748E-01,1.40595303E+01,7.07840047E-01,2.73323961E-01,1.87845200E-02
6.31837235E-04,5.11180401E-01,4.75701243E-01,3.24474372332139,2.99020692546924,3.65157179E+00,4483.03149540985,6.41555350E+00,-4.79261135E-01,1.40633638E+01,7.07840030E-01,2.73323925E-01,1.87845200E-02
6.35375738E-04,5.09266402E-01,4.74727337E-01,3.23047513038813,2.9835088951185,3.65158024E+00,4483.11872190304,6.41650949E+00,-4.76391326E-01,1.40671910E+01,7.07840015E-01,2.73323891E-01,1.87845200E-02
6.38904314E-04,5.07350716E-01,4.73753077E-01,3.21625678940683,2.97682344182666,3.65158845E+00,4483.20347258291,6.41746584E+00,-4.73520439E-01,1.40710196E+01,7.07840001E-01,2.73323861E-01,1.87845200E-02
6.42433484E-04,5.05430318E-01,4.72776090E-01,3.20206628592695,2.97013431933714,3.65159685E+00,4483.29018626438,6.41842491E+00,-4.70641390E-01,1.40748591E+01,7.07839988E-01,2.73323832E-01,1.87845200E-02
6.45974324E-04,5.03499720E-01,4.71793788E-01,3.18786352040367,2.96342396044085,3.65160535E+00,4483.37793395885,6.41938924E+00,-4.67746555E-01,1.40787196E+01,7.07839976E-01,2.73323806E-01,1.87845200E-02
6.49538962E-04,5.01549252E-01,4.70803279E-01,3.17357854920083,2.95667288840089,3.65161299E+00,4483.45680511685,6.42036167E+00,-4.64827431E-01,1.40826126E+01,7.07839965E-01,2.73323783E-01,1.87845200E-02
6.53140358E-04,4.99573710E-01,4.69801411E-01,3.15917518934369,2.94986004140927,3.65162003E+00,4483.52948343318,6.42134525E+00,-4.61874822E-01,1.40865502E+01,7.07839955E-01,2.73323761E-01,1.87845200E-02
6.56793786E-04,4.97568841E-01,4.68784452E-01,3.14462484234658,2.94296062807728,3.65162730E+00,4483.60453741964,6.42234369E+00,-4.58877640E-01,1.40905473E+01,7.07839946E-01,2.73323741E-01,1.87845200E-02
6.60517015E-04,4.95526233E-01,4.67747980E-01,3.12986952159972,2.93594543575093,3.65163488E+00,4483.68279312032,6.42336132E+00,-4.55822826E-01,1.40946213E+01,7.07839937E-01,2.73323723E-01,1.87845200E-02
6.64331057E-04,4.93430983E-01,4.66686736E-01,3.11480585943179,2.92877990436477,3.65164169E+00,4483.75310052806,6.42440334E+00,-4.52694846E-01,1.40987928E+01,7.07839930E-01,2.73323706E-01,1.87845200E-02
6.68259901E-04,4.91272602E-01,4.65594636E-01,3.0993641264828,2.92142429094899,3.65164814E+00,4483.81969226123,6.42547563E+00,-4.49475956E-01,1.41030856E+01,7.07839923E-01,2.73323691E-01,1.87845200E-02
6.72334196E-04,4.89038954E-01,4.64463997E-01,3.08346450888611,2.9138285684539,3.65165505E+00,4483.89103426959,6.42658584E+00,-4.46143288E-01,1.41075302E+01,7.07839917E-01,2.73323677E-01,1.87845200E-02
6.76591819E-04,4.86710847E-01,4.63285231E-01,3.06697931551202,2.90593055195395,3.65166241E+00,4483.9670235327,6.42774335E+00,-4.42668606E-01,1.41121642E+01,7.07839911E-01,2.73323664E-01,1.87845200E-02
6.81081454E-04,4.84254427E-01,4.62046062E-01,3.0496810910059,2.89765090111079,3.65166789E+00,4484.0236033313,6.42896023E+00,-4.39015745E-01,1.41170358E+01,7.07839906E-01,2.73323653E-01,1.87845200E-02
6.85864751E-04,4.81648317E-01,4.60730997E-01,3.0314353941493,2.88888994300772,3.65167389E+00,4484.08555283466,6.43025164E+00,-4.35139138E-01,1.41222058E+01,7.07839901E-01,2.73323643E-01,1.87845200E-02
6.91029665E-04,4.78849628E-01,4.59318060E-01,3.01196296853371,2.87950647869326,3.65168069E+00,4484.15576330646,6.43163926E+00,-4.30973768E-01,1.41277610E+01,7.07839897E-01,2.73323633E-01,1.87845200E-02
6.96696354E-04,4.75788853E-01,4.57777437E-01,2.99081019920441,2.86930976929953,3.65168581E+00,4484.20862838718,6.43315233E+00,-4.26431803E-01,1.41338185E+01,7.07839894E-01,2.73323625E-01,1.87845200E-02
7.03036581E-04,4.72392094E-01,4.56066988E-01,2.96750933633635,2.85803134805295,3.65169184E+00,4484.27089020923,6.43483227E+00,-4.21388966E-01,1.41405440E+01,7.07839891E-01,2.73323618E-01,1.87845200E-02
7.10318421E-04,4.68521804E-01,4.54121674E-01,2.94118135371331,2.8452581367951,3.65169693E+00,4484.32344688111,6.43674300E+00,-4.15653358E-01,1.41481934E+01,7.07839888E-01,2.73323612E-01,1.87845200E-02
7.18962516E-04,4.63979458E-01,4.51841319E-01,2.91057944526743,2.83035766065965,3.65170152E+00,4484.37084134328,6.43898293E+00,-4.08929579E-01,1.41571609E+01,7.07839886E-01,2.73323607E-01,1.87845200E-02
7.29683547E-04,4.58427568E-01,4.49059762E-01,2.87360829083237,2.81228779451439,3.65170432E+00,4484.39975324374,6.44171539E+00,-4.00727289E-01,1.41681002E+01,7.07839885E-01,2.73323603E-01,1.87845200E-02
7.43084836E-04,4.51625074E-01,4.45657513E-01,2.82894871266191,2.79034249402607,3.65170482E+00,4484.40491610273,6.44505787E+00,-3.90693483E-01,1.41814819E+01,7.07839884E-01,2.73323600E-01,1.87845200E-02
7.59836447E-04,4.43331854E-01,4.41520598E-01,2.77544006961341,2.76388900357972,3.65169998E+00,4484.35493987748,6.44912256E+00,-3.78491194E-01,1.41977551E+01,7.07839883E-01,2.73323598E-01,1.87845200E-02
7.80775961E-04,4.33283322E-01,4.36523555E-01,2.71196026461489,2.73226963103847,3.65168637E+00,4484.2144105432,6.45403305E+00,-3.63749271E-01,1.42174146E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
8.06950354E-04,4.21189593E-01,4.30531309E-01,2.63748253812994,2.69482960002428,3.65165906E+00,4483.93243586875,6.45992248E+00,-3.46068436E-01,1.42409937E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
8.39668345E-04,4.06738163E-01,4.23403824E-01,2.55116273785789,2.65096396295439,3.65160994E+00,4483.42531842797,6.46692897E+00,-3.25034211E-01,1.42690455E+01,7.07839883E-01,2.73323597E-01,1.87845200E-02
