JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332331.500000000,A.D.1673-Aug-0900:00:00.0000,-4.821283953162150E+00,-2.518283149972780E+00,1.184627304006553E-01,3.414039216399632E-03,-6.340619993851389E-03,-5.209840148518349E-05,3.142251541216566E-02,5.440639888740079E+00,-9.167078279138025E-05,
2332341.500000000,A.D.1673-Aug-1900:00:00.0000,-4.786698466271278E+00,-2.581445786584823E+00,1.179312492070519E-01,3.502375970526715E-03,-6.291673220297414E-03,-5.420242189019098E-05,3.141704260501988E-02,5.439692301557127E+00,-9.735780836210864E-05,
2332351.500000000,A.D.1673-Aug-2900:00:00.0000,-4.751237881143381E+00,-2.644134049060911E+00,1.173780555694572E-01,3.590383336026366E-03,-6.244998728857446E-03,-5.640370189334014E-05,3.141132545544482E-02,5.438702407794010E+00,-1.016367607654613E-04,
2332361.500000000,A.D.1673-Sep-0800:00:00.0000,-4.714902393087618E+00,-2.706334798385380E+00,1.168033296559552E-01,3.676920772249514E-03,-6.196238835224704E-03,-5.857584362051574E-05,3.140533122329586E-02,5.437664538670411E+00,-1.055724601779022E-04,
2332371.500000000,A.D.1673-Sep-1800:00:00.0000,-4.677698134413716E+00,-2.768038157389887E+00,1.162071296514596E-01,3.762887395811589E-03,-6.143992863287262E-03,-6.066664769751722E-05,3.139906589826338E-02,5.436579731269081E+00,-1.107119905956882E-04,
2332381.500000000,A.D.1673-Sep-2800:00:00.0000,-4.639637157317177E+00,-2.829231392832502E+00,1.155895055738986E-01,3.849477831195689E-03,-6.094081722180213E-03,-6.283821666687420E-05,3.139255570205234E-02,5.435452525737482E+00,-1.151470826830549E-04,
2332391.500000000,A.D.1673-Oct-0800:00:00.0000,-4.600717461952978E+00,-2.889903117745073E+00,1.149506538636201E-01,3.934214572136943E-03,-6.040293481384003E-03,-6.493778249560112E-05,3.138576023273425E-02,5.434275926698553E+00,-1.199444721806285E-04,
2332401.500000000,A.D.1673-Oct-1800:00:00.0000,-4.560953789698834E+00,-2.950042098956886E+00,1.142905896326279E-01,4.018528908876330E-03,-5.986673149142750E-03,-6.705720015242430E-05,3.137872127245702E-02,5.433057168506942E+00,-1.242488012357790E-04,
2332411.500000000,A.D.1673-Oct-2800:00:00.0000,-4.520348160745542E+00,-3.009636184606111E+00,1.136094717952094E-01,4.103038768553365E-03,-5.932461919277939E-03,-6.917073023611049E-05,3.137141439554233E-02,5.431792021987552E+00,-1.289574678359390E-04,
2332421.500000000,A.D.1673-Nov-0700:00:00.0000,-4.478907059311983E+00,-3.068674737733784E+00,1.129074208865177E-01,4.184785663330855E-03,-5.875409823769488E-03,-7.125388987060962E-05,3.136384112095481E-02,5.430480750140955E+00,-1.328776355722294E-04,
2332431.500000000,A.D.1673-Nov-1700:00:00.0000,-4.436642518808749E+00,-3.127145935844748E+00,1.121844934561994E-01,4.267532123258134E-03,-5.818580233773707E-03,-7.333266573793380E-05,3.135602459843033E-02,5.429127361219664E+00,-1.374422952916599E-04,
2332441.500000000,A.D.1673-Nov-2700:00:00.0000,-4.393554323693288E+00,-3.185039413098625E+00,1.114408669705365E-01,4.349951697991828E-03,-5.759524381075986E-03,-7.537260448746063E-05,3.134793377442010E-02,5.427726478468380E+00,-1.429395028668278E-04,
2332451.500000000,A.D.1673-Dec-0700:00:00.0000,-4.349657493103571E+00,-3.242342945973275E+00,1.106766275155447E-01,4.429697771734033E-03,-5.700807674968395E-03,-7.746853900208840E-05,3.133960236970827E-02,5.426283940459890E+00,-1.460057230789159E-04,
2332461.500000000,A.D.1673-Dec-1700:00:00.0000,-4.304954379274283E+00,-3.299045845051126E+00,1.098919195542676E-01,4.510736460463551E-03,-5.639904936424971E-03,-7.948078899776705E-05,3.133100889548245E-02,5.424796026521665E+00,-1.513317781324294E-04,
2332471.500000000,A.D.1673-Dec-2700:00:00.0000,-4.259453068518654E+00,-3.355137736197864E+00,1.090868723058906E-01,4.589752862867937E-03,-5.578130144793528E-03,-8.151673754795564E-05,3.132215915930447E-02,5.423263742201866E+00,-1.555031094362338E-04,
2332481.500000000,A.D.1674-Jan-0600:00:00.0000,-4.213165646090437E+00,-3.410606111299234E+00,1.082616053373034E-01,4.667352818385397E-03,-5.516152424253505E-03,-8.356401178417539E-05,3.131306834555072E-02,5.421689716593762E+00,-1.586136799787389E-04,
2332491.500000000,A.D.1674-Jan-1600:00:00.0000,-4.166092296783183E+00,-3.465442498737438E+00,1.074162675954880E-01,4.746333503436521E-03,-5.450412173237757E-03,-8.548924172946877E-05,3.130371161115180E-02,5.420069648253230E+00,-1.650820855062876E-04,
2332501.500000000,A.D.1674-Jan-2600:00:00.0000,-4.118249728355600E+00,-3.519634398924116E+00,1.065509709082986E-01,4.822886765440045E-03,-5.387104582844415E-03,-8.753796761185125E-05,3.129412271598066E-02,5.418409382521074E+00,-1.680457681289221E-04,
