JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332143.5,1673-Feb-02,-7.370275391304114E-01,6.570527042286208E-01,4.491985050693743E-04,-1.170815992090536E-02,-1.291994425842209E-02,-1.025902803829124E-05,5.702656988952277E-03,9.873844496193316E-01,1.419379984006116E-04
2332144.5,1673-Feb-03,-7.486214078416001E-01,6.440324667534053E-01,4.388713824763056E-04,-1.147900212123475E-02,-1.311984380966171E-02,-1.039467292635686E-05,5.703487448024294E-03,9.875282391503070E-01,1.456330956762423E-04
2332145.5,1673-Feb-04,-7.599844055312760E-01,6.308144002615319E-01,4.284102543249920E-04,-1.124643083060770E-02,-1.331559245626073E-02,-1.052703251960083E-05,5.704339109089829E-03,9.876756996926619E-01,1.492798394069187E-04
2332146.5,1673-Feb-05,-7.711131577341563E-01,6.174026849028041E-01,4.178184256591972E-04,-1.101052426667963E-02,-1.350713196977817E-02,-1.065606748096274E-05,5.705211689747477E-03,9.878267823501092E-01,1.528771465881109E-04
2332147.5,1673-Feb-06,-7.820043686956829E-01,6.038015582668168E-01,4.070992403539352E-04,-1.077136162740981E-02,-1.369440570201750E-02,-1.078173950940516E-05,5.706104901383332E-03,9.879814371506993E-01,1.564239488416877E-04
2332148.5,1673-Feb-07,-7.926548223348924E-01,5.900153137941211E-01,3.962560800037698E-04,-1.052902305625429E-02,-1.387735860196015E-02,-1.090401149227994E-05,5.707018449255416E-03,9.881396130614418E-01,1.599191925680751E-04
2332149.5,1673-Feb-08,-8.030613831726249E-01,5.760482991712073E-01,3.852923626606048E-04,-1.028358960761310E-02,-1.405593723119564E-02,-1.102284764973734E-05,5.707952032581675E-03,9.883012580035376E-01,1.633618399808993E-04
2332150.5,1673-Feb-09,-8.132209972252041E-01,5.619049147107811E-01,3.742115414416610E-04,-1.003514321228479E-02,-1.423008977792683E-02,-1.113821364564466E-05,5.708905344635756E-03,9.884663188689655E-01,1.667508707223772E-04
2332151.5,1673-Feb-10,-8.231306928634871E-01,5.475896117186831E-01,3.630171030489014E-04,-9.783766642722385E-03,-1.439976606970550E-02,-1.125007665393943E-05,5.709878072853018E-03,9.886347415388352E-01,1.700852837286251E-04
2332152.5,1673-Feb-11,-8.327875816370168E-01,5.331068908486452E-01,3.517125662450016E-04,-9.529543477970356E-03,-1.456491758504858E-02,-1.135840537911009E-05,5.710869898947373E-03,9.888064709036190E-01,1.733640990852085E-04
2332153.5,1673-Feb-12,-8.421888590629243E-01,5.184613004459336E-01,3.403014803299195E-04,-9.272558068219125E-03,-1.472549746406282E-02,-1.146317003522797E-05,5.711880499038339E-03,9.889814508851501E-01,1.765863596802897E-04
2332154.5,1673-Feb-13,-8.513318053791817E-01,5.036574348808224E-01,3.287874236564842E-04,-9.012895498950254E-03,-1.488146051818000E-02,-1.156434229138106E-05,5.712909543786731E-03,9.891596244601155E-01,1.797511325183593E-04
2332155.5,1673-Feb-14,-8.602137862617941E-01,4.886999328727396E-01,3.171740022128492E-04,-8.750641554669434E-03,-1.503276323908304E-02,-1.166189519332566E-05,5.713956698536703E-03,9.893409336846521E-01,1.828575096014457E-04
2332156.5,1673-Feb-15,-8.688322535055236E-01,4.735934758058661E-01,3.054648482906565E-04,-8.485882682243439E-03,-1.517936380689029E-02,-1.175580307268008E-05,5.715021623461501E-03,9.895253197195822E-01,1.859046083203389E-04
2332157.5,1673-Feb-16,-8.771847456677672E-01,4.583427860368929E-01,2.936636192451649E-04,-8.218705953877355E-03,-1.532122209765894E-02,-1.184604145615740E-05,5.716103973709996E-03,9.897127228557827E-01,1.888915713321599E-04
2332158.5,1673-Feb-17,-8.852688886752565E-01,4.429526251955940E-01,2.817739963406428E-04,-7.949199029796130E-03,-1.545829969026330E-02,-1.193258698809325E-05,5.717203399551042E-03,9.899030825391834E-01,1.918175659418076E-04
2332159.5,1673-Feb-18,-8.930823963933333E-01,4.274277924788136E-01,2.697996836608044E-04,-7.677450120734773E-03,-1.559055987268916E-02,-1.201541737949695E-05,5.718319546513002E-03,9.900963373949223E-01,1.946817830627978E-04
2332160.5,1673-Feb-19,-9.006230711576839E-01,4.117731229384495E-01,2.577444070523667E-04,-7.403547950399671E-03,-1.571796764774549E-02,-1.209451139485811E-05,5.719452055516426E-03,9.902924252503205E-01,1.974834359177791E-04
2332161.5,1673-Feb-20,-9.078888042686004E-01,3.959934857640258E-01,2.456119130596654E-04,-7.127581718083192E-03,-1.584048973816864E-02,-1.216984888216431E-05,5.720600562998959E-03,9.904912831565075E-01,2.002217586799323E-04
2332162.5,1673-Feb-21,-9.148775764480098E-01,3.800937825604847E-01,2.334059678092440E-04,-6.849641061642749E-03,-1.595809459107313E-02,-1.224141084678051E-05,5.721764701032778E-03,9.906928474087550E-01,2.028960052986146E-04
2332163.5,1673-Feb-22,-9.215874582597566E-01,3.640789456219098E-01,2.211303558006852E-04,-6.569816021022294E-03,-1.607075238158398E-02,-1.230917955393558E-05,5.722944097436448E-03,9.908970535658457E-01,2.055054487690905E-04
